category,date,link,summery,title
health,2016-11-18T04:11:09 GMT,https://www.express.pk/story/656813,11 سال سے جاری ایک سروے سے معلوم ہوا ہےکہ مایوس اور بد دل افراد دل کی بیماریوں کا زیادہ شکار ہوسکتے ہیں۔,مایوسی جان لیوا دل کے دورے کا سبب بن سکتی ہے، تحقیق
health,2016-11-17T04:31:23 GMT,https://www.express.pk/story/656232,حیات کے لیے کلیدی اہمیت رکھنے والا یہ مرکب منفرد خواص کا حامل ہے اور سائنس داں اس پر مسلسل تحقیق کررہے ہیں,سائنس دانوں نے پانی کی نئی ’حالت‘ دریافت کر لی
health,2016-11-17T03:43:59 GMT,https://www.express.pk/story/656188,موٹاپا کئی بیماریوں کا سبب بنتا ہے،سادہ غذا موٹاپے سمیت کئی بیماریوں سے بچاتی ہے، پروفیسر مسعود حمید,خشک خوراک اور جسمانی مشقت نہ کرنے سے موٹاپا ہوتا ہے، ماہرین طب
health,2016-11-16T07:46:46 GMT,https://www.express.pk/story/653408,5500 مختلف کیمیکلز میں سے دو نے دل کےدورے کے بعد مردہ پٹھوں کو دوبارہ صحت مند بنادیا,ہارٹ اٹیک کے بعد مردہ ہوجانے والے حصوں کو دوبارہ زندہ کرنے میں اہم کامیابی
health,2016-11-15T05:00:08 GMT,https://www.express.pk/story/654064,صرف 1998 میں 70 لاکھ پاکستانی ذیابیطس کے شکار تھے جب کہ اب یہ تعداد 3 سے 4 کروڑ تک پہنچ چکی ہے۔,دنیا کے مقابلے میں پاکستان میں ذیابیطس کی شرح تیزی سےبڑھ رہی ہے، ماہرین
health,2016-11-14T05:45:35 GMT,https://www.express.pk/story/652047,سردیوں میں نزلہ، زکام اور کھانسی عام ہوتی ہیں لیکن کچھ چیزیں روزمرہ غذا میں شامل کرکے ان سے محفوظ رہا جاسکتا ہے۔,موسم سرما کی روایتی بیماریوں سے بچنے کے لئے کیا کھائیں؟
health,2016-11-14T04:01:49 GMT,https://www.express.pk/story/653409,دودھ میں موجود اجزا جلد کو ٹھنڈک اور راحت پہنچاتے ہیں، سادہ پان کا پتہ بچوں کے نزلے پر استعمال کریں,آمد سرد رُتوں کی؛ موسمی مسائل سےبچنے کے کچھ گُر
health,2016-11-14T03:27:36 GMT,https://www.express.pk/story/653427,یوم ذیابیطس انسولین ایجادکرنے والے ڈاکٹر فریڈرک کے یوم پیدائش پر منایا جاتا ہے,ذیابیطس کا عالمی دن آج منایا گیا، ملک میں 4 کروڑ افرا د بیماری کا شکار
health,2016-11-13T07:35:44 GMT,https://www.express.pk/story/651891,سرد و خشک موسم میں ہونٹوں کو نرم اور نم رکھنے کیلیے کوئی چیپ اسٹک لگانے سے قبل یہ ضرور پڑھیں۔,خبردار! خشکی میں ہونٹوں پر لگانے والی کریم سے جلن بھی ہوسکتی ہے
health,2016-11-12T03:20:29 GMT,https://www.express.pk/story/649870,اب ماہرین لیزر کے ذریعے سرطانی و غیر سرطانی خلیات کو شناخت کرکے اور کینسر کی آواز سن کر اس کا خاتمہ کرسکتے ہیں۔,اب کینسر کو سن کر بھی اس کا علاج کیا جاسکے گا
health,2016-11-11T03:58:03 GMT,https://www.express.pk/story/650233,اس منفرد طریقے کی بنیاد پر ملیریا کے ممکنہ علاج میں ابھی کئی اور مراحل طے کرنا باقی ہیں، ماہرین,خون کے خلیات کے ذریعے ملیریا کے علاج کی امید
health,2016-11-10T04:55:54 GMT,https://www.express.pk/story/648840,وٹامن ڈی کی کمی ہڈیوں کی کمزوری اور نفسیاتی امراض کی وجہ تو بنتی ہے لیکن اب یہ سرطان کی وجہ بھی ثابت ہوئی ہے۔,وٹامن ڈی کی کمی سے مثانے کے کینسر کا خطرہ بڑھ سکتا ہے، تحقیق
health,2016-11-08T04:51:44 GMT,https://www.express.pk/story/647022,حالیہ تحقیق سے معلوم ہوا ہے کہ انگور کھانے سے جسم کا قدرتی دفاعی نظام مضبوط ہوکر مختلف انفیکشن کو دور کرتا ہے۔ ,انگور کھائیں اور مختلف قسم کے انفیکشن سے دور رہیں
health,2016-11-07T06:07:07 GMT,https://www.express.pk/story/647349,اچھی صحت کےلئے ورزش کو بہت ضروری خیال کیا جاتا ہے لیکن کتنی اور کس قسم کی ,اچھی صحت کے لئے کتنی ورزش ضروری ہے
health,2016-11-06T05:26:02 GMT,https://www.express.pk/story/569011,لیموں کے رس اور شہد سے نہ صرف بدنما کیلیں صاف ہوجاتی ہیں بلکہ جلد شفاف اور تروتازہ نظرآتی ہے۔,چہرے کی کیل مہاسوں سے نجات کا گھریلو نسخہ
health,2016-11-05T04:31:10 GMT,https://www.express.pk/story/645046,بلیو کورل سانپ اپنے شکار کو اپاہج کردیتا ہے اور اس کا زہر جسم میں سوڈیم چینل پر اثر کرکے تکلیف کم کرسکتا ہے,سانپ کے زہرسے درد اورتکلیف دورکرنے میں نئی کامیابیاں
health,2016-11-27T04:54:35 GMT,https://www.express.pk/story/405596,سردیوں میں زیادہ دیرتک گرم پانی سے نہانا بھی خشکی کا باعث بنتا ہے، ماہرین امراض جلد,سردیوں میں جلد کو خشکی سے بچانے کے آسان طریقے
health,2016-11-26T04:18:00 GMT,https://www.express.pk/story/663598,مختلف لوگوں کو باہر جانے سے لے کر عام اشیا سے بھی خوف آتا ہے جس کے علاج کی ایک نئی راہ سامنے آئی ہے۔ ,ذہن کی لاشعوری تربیت مختلف خوف (فوبیا) سے نجات میں مددگار
health,2016-11-25T04:34:37 GMT,https://www.express.pk/story/662641,پیلی، نارنجی اور سرخ سبزیوں اور پھلوں میں موجود ’’کیراٹونوئیڈز‘‘ نظر کو بہتر اور دماغ کو چاق و چوبند بناتے ہیں۔,عمررسیدہ افراد رنگ برنگی سبزیاں کھائیں اور دماغی صحت بہتر بنائیں، تحقیق
health,2016-11-24T17:38:13 GMT,https://www.express.pk/story/662651,ناشتے میں باقاعدگی سے آئسکریم کھانے والے افراد دیگر لوگوں کے مقابلے میں زیادہ ذہین اور حاضر دماغ ہوتے ہیں،ماہرین,ناشتے میں آئسکریم کھائیں اور ذہین بن جائیں !
health,2016-11-24T04:14:27 GMT,https://www.express.pk/story/661665,جو حضرات مردانہ تسلط اور حاکمیت پر یقین رکھتے ہیں ان میں منفی نفسیاتی اثرات ہوتے ہیں، رپورٹ,خواتین پرحاکم بننے والے مرد ذہنی مریض ہوسکتے ہیں، تحقیق
health,2016-11-23T10:18:36 GMT,https://www.express.pk/story/661483,2015میں پاکستان میں پولیو کے 309کیس رجسٹر ہوئے جب کہ رواں سال اس کی تعداد گھٹ کے محض 17 رہ گئی ہے، نمائندہ اقوام متحدہ,رواں سال کے آخرتک پاکستان پولیوسے پاک ملک بن جائے گا، اقوام متحدہ
health,2016-11-23T06:35:01 GMT,https://www.express.pk/story/661259,2015 کے اختتام تک دنیا بھر کی کل آبادی کا 16 فیصد حصہ ہائی بلڈ پریشر سے متاثر ہوچکا تھا۔,دنیا بھر میں ہائی بلڈ پریشر کے مریضوں کی تعداد ایک ارب سے بھی تجاوز کرگئی
health,2016-11-22T04:36:58 GMT,https://www.express.pk/story/659111,چینی کسان کی بیوی گردے کی پتھری میں مبتلا تھی جس کے آرام کیلیے یہ بستر تیار کیا۔,چینی کسان نے گردے کی پتھری سے نجات دلانے والا بستر ایجاد کرلیا
